Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2526,Eerste Waterbrug,Fiets-voetbrug,COMPOSIET,1. Perfect,2017,SB AIB,Gemeente Almere,Existing,1.9,36.1,68.4,Leeghwaterplas,52.0665527,4.3213072,1.5,,5.3,1.5,2100,29D8A296D26BC5C5E0500A0A57326FCA,Waterpad,Groengebieden/Parken,Waterwijk,Almere Stad,144300.659,488533.626
2527,Tweede Waterbrug,Fiets-voetbrug,COMPOSIET,1. Perfect,2017,SB AIB,Gemeente Almere,Existing,2,44,88,Leeghwaterplas,52.0665527,4.3213072,1.5,,5,1.5,2067,29D8A2970392C5C5E0500A0A57326FCA,Waterpad,Groengebieden/Parken,Waterwijk,Almere Stad,144278.064,488455.798
2528,Derde Waterbrug,Fiets-voetbrug,COMPOSIET,1. Perfect,2016,SB AIB,Gemeente Almere,Existing,2,59,118,Leeghwaterplas,52.0665527,4.3213072,1.5,,5.5,1.5,2067,29D8A296D26CC5C5E0500A0A57326FCA,Waterpad,Groengebieden/Parken,Waterwijk,Almere Stad,144214.982,488373.779
1080,Mesurierbrug,Verkeersbrug,Concrete,1. Perfect,2016,SB AIB,Gemeente Almere,Existing,10,20,200,Mesurierbrug,38.7823829,-90.527626,3,,16,2,2096,29D8A297033EC5C5E0500A0A57326FCA,nvt,Groengebieden/Parken,De Wierden,Almere Haven,142411.091,483683.314
2003,Limburgsebrug,Fiets-voetbrug,Concrete,1. Perfect,2021,Stadsruimte,Gemeente Almere,plan,10.2,30.5,311.1,Weerwater_Stedenwijk,52.3595569,5.2046047,7.6,,5,1.73,2102,DA7EB5EF-B069-4970-A9B8-4404A0B813F4,Fontanapad,Groengebieden/Parken,overig Almere Stad,Almere Stad,143034.9833,485622.4029
2787,Rapsodiebrug,Verkeersbrug,Concrete,1. Perfect,1990,SB AIB,Gemeente Almere,Existing,6.5,15.5,100.75,Rapsodiebrug,52.3756972,5.1897292,3.5,,12.6,1.74,2100,318630A66AA13498E0535B320A0A7C56,Divertimentostraat,Groengebieden/Parken,Muziekwijk,Almere Stad,141552.837,487548.197
3031,Dagenbrug,Fiets-voetbrug,Concrete,1. Perfect,2015,SB AIB,Gemeente Almere,Existing,3.5,22,77,Gracht Jaap Edenpad 3,52.4061515,5.2710932,4,,4.5,2.5,2200,29D8A296D291C5C5E0500A0A57326FCA,Pirellipad,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,147275.569,490719.264
4133,,Verkeersbrug,Concrete,1. Perfect,2019,SB AIB,Gemeente Almere,Existing,0.1,0.1,0.01,Godendreef 2a,50.8627229,4.3536052,,,,,2109,86AEB5E3-8630-4A96-8E5E-9B21DF97A138,Godendreef,Buitengebied,overig Almere Poort,Almere Poort,139286.5214,486115.0406
4831,,Verkeersbrug,Concrete,1. Perfect,2020,SB AIB,Gemeente Almere,Existing,12,25,300,Bosgebied Almere Poort 1g,52.3431463,5.1454804,0,0,0,0,2110,F8D2F8EC-13DB-4BC3-BC61-9E4CDE2E1258,Van Wagtendonkpad,Groengebieden/Parken,overig Almere Poort,Almere Poort,139469.8742,486191.6833
0012,Microfoonbrug,Fiets-voetbrug,Steel,1. Perfect,2017,Staatsbosbeheer,Gemeente Almere,Existing,5,17,85,A6_Kromslootpark 2,52.3373845,5.177393,2.4,,5,2,2067,29D8A296D925C5C5E0500A0A57326FCA,Rechte wetering,Groengebieden/Parken,overig Almere Haven,Almere Haven,141019.4283,484004.5408
